Datum;Tag;Uhrzeit;Heimteam;Auswärtsteam;HZ-Ergebnis;Endergebnis;Ereignis;1;X;2
62.KHW
03/08/18;Fr.;20:30;Hamburg;Kiel;0:0;0:3;;1.80;3.58;4.09
04/08/18;Sa.;13:00;Bochum;Köln;0:1;0:2;;2.97;3.22;2.31
04/08/18;Sa.;15:30;Fürth;Sandhausen;0:0;3:1;;2.94;2.96;2.49
04/08/18;Sa.;15:30;Regensburg;Ingolstadt;1:1;2:1;;2.84;3.29;2.36
05/08/18;So.;13:30;Magdeburg;St. Pauli;1:1;1:2;;2.35;3.10;3.02
05/08/18;So.;15:30;Darmstadt;Paderborn;0:0;1:0;;2.71;3.17;2.54
05/08/18;So.;15:30;Union Berlin;Aue;0:0;1:0;;1.93;3.34;3.80
05/08/18;So.;15:30;Heidenheim;Bielefeld;1:1;1:1;;2.58;3.21;2.62
06/08/18;Mo.;20:30;Dresden;Duisburg;1:0;1:0;;2.24;3.31;3.02
64.KHW
10/08/18;Fr.;18:30;Paderborn;Regensburg;1:0;2:0;;1.92;3.66;3.50
10/08/18;Fr.;18:30;Ingolstadt;Fürth;0:0;1:1;;1.57;3.97;5.18
10/08/18;Fr.;20:30;St. Pauli;Darmstadt;0:0;2:0;;2.10;3.11;3.54
11/08/18;Sa.;13:00;Duisburg;Bochum;0:0;0:2;;2.65;3.17;2.58
11/08/18;Sa.;15:30;Bielefeld;Dresden;2:0;2:1;;2.27;3.32;2.96
12/08/18;So.;13:30;Sandhausen;Hamburg;0:2;0:3;;2.89;3.10;2.43
12/08/18;So.;15:30;Aue;Magdeburg;0:0;0:0;;2.35;3.03;3.09
12/08/18;So.;15:30;Kiel;Heidenheim;1:1;1:1;;1.73;3.72;4.31
13/08/18;Mo.;20:30;Köln;Union Berlin;1:0;1:1;;1.58;3.91;5.24
68.KHW
24/08/18;Fr.;18:30;Darmstadt;Duisburg;0:0;3:0;;2.36;3.19;2.92
24/08/18;Fr.;18:30;Bochum;Sandhausen;0:0;1:0;;2.04;3.21;3.59
25/08/18;Sa.;13:00;Magdeburg;Ingolstadt;1:1;1:1;;2.80;3.18;2.45
25/08/18;Sa.;13:00;Köln;Aue;1:1;3:1;;1.40;4.33;7.49
25/08/18;Sa.;13:00;Fürth;Paderborn;0:0;2:2;;2.87;3.31;2.33
26/08/18;So.;13:30;Regensburg;Kiel;0:0;0:0;;2.79;3.56;2.27
26/08/18;So.;13:30;Dresden;Heidenheim;0:2;1:3;;2.21;3.28;3.09
26/08/18;So.;13:30;Union Berlin;St. Pauli;2:0;4:1;;2.01;3.30;3.56
27/08/18;Mo.;20:30;Hamburg;Bielefeld;1:0;3:0;;1.60;3.93;4.95
70.KHW
31/08/18;Fr.;18:30;Ingolstadt;Aue;1:1;3:2;;1.64;3.58;5.22
31/08/18;Fr.;18:30;Paderborn;Bochum;0:1;2:2;;2.05;3.39;3.37
01/09/18;Sa.;13:00;Bielefeld;Regensburg;3:2;5:3;;2.12;3.49;3.10
01/09/18;Sa.;13:00;Duisburg;Fürth;0:1;0:1;;1.77;3.55;4.29
02/09/18;So.;13:30;Sandhausen;Union Berlin;0:0;0:0;;2.93;3.03;2.45
02/09/18;So.;13:30;St. Pauli;Köln;2:2;3:5;;3.37;3.38;2.05
02/09/18;So.;13:30;Heidenheim;Darmstadt;0:1;0:1;;2.39;3.20;2.87
03/09/18;Mo.;20:30;Kiel;Magdeburg;0:0;2:1;;2.02;3.32;3.51
74.KHW
14/09/18;Fr.;18:30;Union Berlin;Duisburg;1:0;2:2;;1.67;3.67;4.82
14/09/18;Fr.;18:30;Regensburg;Dresden;0:1;0:2;;2.31;3.54;2.74
15/09/18;Sa.;13:00;Hamburg;Heidenheim;0:0;3:2;;1.61;3.82;5.06
15/09/18;Sa.;13:00;Darmstadt;Sandhausen;0:0;1:1;;2.23;2.98;3.39
15/09/18;Sa.;13:00;Fürth;Kiel;0:0;4:1;;2.90;3.35;2.29
16/09/18;So.;13:30;Bochum;Ingolstadt;3:0;6:0;;2.46;3.22;2.76
16/09/18;So.;13:30;Köln;Paderborn;1:1;3:5;;1.54;4.20;5.21
16/09/18;So.;13:30;Aue;St. Pauli;2:1;3:1;;2.81;3.08;2.51
17/09/18;Mo.;20:30;Magdeburg;Bielefeld;0:0;0:0;;2.54;3.14;2.72
75.KHW
18/09/18;Di.;18:30;Dresden;Hamburg;0:0;0:1;;2.56;3.44;2.50
76.KHW
21/09/18;Fr.;18:30;Ingolstadt;St. Pauli;0:0;0:1;;2.14;3.35;3.19
21/09/18;Fr.;18:30;Sandhausen;Köln;0:1;0:2;;3.78;3.48;1.90
22/09/18;Sa.;13:00;Kiel;Bochum;0:1;2:2;;2.29;3.41;2.85
22/09/18;Sa.;13:00;Dresden;Darmstadt;1:1;4:1;;2.16;3.24;3.24
22/09/18;Sa.;13:00;Bielefeld;Union Berlin;0:1;1:1;;2.45;3.28;2.73
23/09/18;So.;13:30;Hamburg;Regensburg;0:3;0:5;;1.53;4.29;5.12
23/09/18;So.;13:30;Duisburg;Aue;1:0;1:2;;2.27;3.18;3.07
23/09/18;So.;13:30;Heidenheim;Fürth;0:0;2:0;;2.09;3.43;3.21
23/09/18;So.;13:30;Paderborn;Magdeburg;2:1;4:4;;1.76;3.56;4.33
77.KHW
25/09/18;Di.;18:30;Darmstadt;Bielefeld;0:0;1:2;;2.22;3.21;3.13
25/09/18;Di.;18:30;Union Berlin;Kiel;0:0;2:0;;1.92;3.52;3.65
25/09/18;Di.;18:30;Bochum;Dresden;0:1;0:1;;2.14;3.41;3.12
25/09/18;Di.;18:30;Köln;Ingolstadt;0:0;2:1;;1.46;4.49;5.76
26/09/18;Mi.;18:30;St. Pauli;Paderborn;1:1;2:1;;2.19;3.49;2.98
26/09/18;Mi.;18:30;Aue;Sandhausen;0:1;0:2;;2.92;2.80;2.63
26/09/18;Mi.;18:30;Magdeburg;Duisburg;0:1;3:3;;2.25;3.21;3.08
26/09/18;Mi.;18:30;Regensburg;Heidenheim;2:1;2:1;;1.84;3.69;3.77
27/09/18;Do.;20:30;Fürth;Hamburg;0:0;0:0;;3.08;3.47;2.14
78.KHW
28/09/18;Fr.;18:30;Kiel;Darmstadt;3:2;4:2;;1.91;3.45;3.74
28/09/18;Fr.;18:30;Bielefeld;Köln;0:1;1:3;;3.29;3.70;1.98
29/09/18;Sa.;13:00;Duisburg;Regensburg;1:2;1:3;;2.48;3.48;2.56
29/09/18;Sa.;13:00;Heidenheim;Bochum;1:2;3:2;;2.46;3.30;2.70
