Datum;Tag;Uhrzeit;Heimteam;Auswärtsteam;HZ-Ergebnis;Endergebnis;Ereignis;1;X;2
68.KHW
24/08/18;Fr.;20:30;B. München;Hoffenheim;1:0;3:1;;1.21;7.49;12.89
25/08/18;Sa.;15:30;Freiburg;Frankfurt;0:1;0:2;;2.48;3.23;3.05
25/08/18;Sa.;15:30;Düsseldorf;Augsburg;1:0;1:2;;2.69;3.29;2.75
25/08/18;Sa.;15:30;Hertha;Nürnberg;1:0;1:0;;1.78;3.61;5.01
25/08/18;Sa.;15:30;Wolfsburg;Schalke;1:0;2:1;;3.17;3.15;2.46
25/08/18;Sa.;15:30;Bremen;Hannover;0:0;1:1;;1.74;4.06;4.59
25/08/18;Sa.;18:30;M'gladbach;Leverkusen;0:0;2:0;;2.58;3.72;2.61
26/08/18;So.;15:30;Mainz;Stuttgart;0:0;1:0;;2.85;3.18;2.67
26/08/18;So.;18:00;Dortmund;Leipzig;3:1;4:1;;1.73;4.13;4.54
70.KHW
31/08/18;Fr.;20:30;Hannover;Dortmund;0:0;0:0;;4.82;4.22;1.68
01/09/18;Sa.;15:30;Hoffenheim;Freiburg;0:1;3:1;;1.52;4.60;6.00
01/09/18;Sa.;15:30;Leverkusen;Wolfsburg;1:1;1:3;;1.66;4.05;5.23
01/09/18;Sa.;15:30;Nürnberg;Mainz;0:1;1:1;;2.65;3.35;2.75
01/09/18;Sa.;15:30;Frankfurt;Bremen;0:1;1:2;;2.39;3.48;3.00
01/09/18;Sa.;15:30;Augsburg;M'gladbach;1:0;1:1;;2.60;3.49;2.71
01/09/18;Sa.;18:30;Stuttgart;B. München;0:1;0:3;;10.25;6.01;1.29
02/09/18;So.;15:30;Leipzig;Düsseldorf;0:0;1:1;;1.33;5.84;8.53
02/09/18;So.;18:00;Schalke;Hertha;0:1;0:2;;1.69;3.71;5.57
74.KHW
14/09/18;Fr.;20:30;Dortmund;Frankfurt;1:0;3:1;;1.47;4.75;6.67
15/09/18;Sa.;15:30;Mainz;Augsburg;0:0;2:1;;2.73;3.42;2.62
15/09/18;Sa.;15:30;B. München;Leverkusen;2:1;3:1;;1.16;8.58;15.73
15/09/18;Sa.;15:30;Leipzig;Hannover;2:1;3:2;;1.51;4.73;6.03
15/09/18;Sa.;15:30;Düsseldorf;Hoffenheim;1:0;2:1;;4.07;4.21;1.80
15/09/18;Sa.;15:30;Wolfsburg;Hertha;0:0;2:2;;2.16;3.29;3.65
15/09/18;Sa.;18:30;M'gladbach;Schalke;1:0;2:1;;2.84;3.48;2.49
16/09/18;So.;15:30;Bremen;Nürnberg;1:0;1:1;;1.60;4.28;5.54
16/09/18;So.;18:00;Freiburg;Stuttgart;1:1;3:3;;2.76;3.22;2.72
76.KHW
21/09/18;Fr.;20:30;Stuttgart;Düsseldorf;0:0;0:0;;1.71;3.83;5.16
22/09/18;Sa.;15:30;Hertha;M'gladbach;2:1;4:2;;2.85;3.39;2.54
22/09/18;Sa.;15:30;Nürnberg;Hannover;0:0;2:0;;2.51;3.46;2.84
22/09/18;Sa.;15:30;Wolfsburg;Freiburg;0:2;1:3;;1.85;3.50;4.70
22/09/18;Sa.;15:30;Augsburg;Bremen;1:2;2:3;;2.84;3.46;2.51
22/09/18;Sa.;15:30;Hoffenheim;Dortmund;1:0;1:1;;2.51;3.74;2.67
22/09/18;Sa.;18:30;Schalke;B. München;0:1;0:2;;8.06;5.20;1.38
23/09/18;So.;15:30;Leverkusen;Mainz;0:0;1:0;;1.59;4.43;5.44
23/09/18;So.;18:00;Frankfurt;Leipzig;1:0;1:1;;3.02;3.64;2.30
77.KHW
25/09/18;Di.;18:30;Bremen;Hertha;2:0;3:1;;2.01;3.62;3.77
25/09/18;Di.;20:30;B. München;Augsburg;0:0;1:1;;1.12;9.75;22.84
25/09/18;Di.;20:30;Freiburg;Schalke;0:0;1:0;;3.19;3.29;2.36
25/09/18;Di.;20:30;Hannover;Hoffenheim;0:1;1:3;;3.09;3.83;2.19
26/09/18;Mi.;18:30;Düsseldorf;Leverkusen;0:0;1:2;;3.91;3.79;1.92
26/09/18;Mi.;20:30;Mainz;Wolfsburg;0:0;0:0;;2.50;3.34;2.94
26/09/18;Mi.;20:30;Dortmund;Nürnberg;2:0;7:0;;1.36;5.36;8.46
26/09/18;Mi.;20:30;M'gladbach;Frankfurt;0:0;3:1;;1.96;3.65;3.91
26/09/18;Mi.;20:30;Leipzig;Stuttgart;1:0;2:0;;1.57;4.33;5.74
78.KHW
28/09/18;Fr.;20:30;Hertha;B. München;2:0;2:0;;11.27;6.41;1.26
29/09/18;Sa.;15:30;Schalke;Mainz;1:0;1:0;;1.61;3.92;6.13
29/09/18;Sa.;15:30;Hoffenheim;Leipzig;0:0;1:2;;2.23;3.92;2.96
29/09/18;Sa.;15:30;Stuttgart;Bremen;1:0;2:1;;2.85;3.42;2.52
29/09/18;Sa.;15:30;Wolfsburg;M'gladbach;1:1;2:2;;2.31;3.58;3.05
29/09/18;Sa.;15:30;Nürnberg;Düsseldorf;1:0;3:0;;2.15;3.57;3.38
29/09/18;Sa.;18:30;Leverkusen;Dortmund;2:0;2:4;;2.54;3.61;2.71
30/09/18;So.;15:30;Frankfurt;Hannover;2:0;4:1;;2.01;3.65;3.73
30/09/18;So.;18:00;Augsburg;Freiburg;2:0;4:1;;1.89;3.66;4.23
80.KHW
05/10/18;Fr.;20:30;Bremen;Wolfsburg;1:0;2:0;;2.05;3.62;3.62
06/10/18;Sa.;15:30;Düsseldorf;Schalke;0:0;0:2;;3.85;3.48;2.03
06/10/18;Sa.;15:30;Mainz;Hertha;0:0;0:0;;2.65;3.35;2.75
06/10/18;Sa.;15:30;Hannover;Stuttgart;2:0;3:1;;2.45;3.46;2.92
06/10/18;Sa.;15:30;Dortmund;Augsburg;0:1;4:3;;1.58;4.34;5.59
06/10/18;Sa.;18:30;B. München;M'gladbach;0:2;0:3;;1.16;8.62;15.35
07/10/18;So.;13:30;Freiburg;Leverkusen;0:0;0:0;;3.44;3.63;2.11
07/10/18;So.;15:30;Hoffenheim;Frankfurt;0:1;1:2;;1.70;4.31;4.57
07/10/18;So.;18:00;Leipzig;Nürnberg;4:0;6:0;;1.39;5.10;8.04
84.KHW
19/10/18;Fr.;20:30;Frankfurt;Düsseldorf;3:0;7:1;;1.79;3.60;4.88
20/10/18;Sa.;15:30;Leverkusen;Hannover;1:1;2:2;;1.57;4.48;5.57
