Datum;Tag;Uhrzeit;Heimteam;Auswärtsteam;HZ-Ergebnis;Endergebnis;Ereignis;1;X;2
64.KHW
10/08/18;Fr.;21:00;Man Utd;Leicester;1:0;2:1;;1.57;3.95;6.63
11/08/18;Sa.;13:30;Newcastle;Tottenham;1:2;1:2;;4.53;3.58;1.85
11/08/18;Sa.;16:00;Fulham;C Palace;0:1;0:2;;2.54;3.40;2.84
11/08/18;Sa.;16:00;Huddersfield;Chelsea;0:2;0:3;;6.22;4.02;1.59
11/08/18;Sa.;16:00;Watford;Brighton;1:0;2:0;;2.51;3.08;3.17
11/08/18;Sa.;16:00;Bournemouth;Cardiff;1:0;2:0;;1.85;3.64;4.45
11/08/18;Sa.;18:30;Wolves;Everton;1:1;2:2;;2.38;3.22;3.23
12/08/18;So.;14:30;Liverpool;West Ham;2:0;4:0;;1.22;7.05;12.71
12/08/18;So.;14:30;Southampton;Burnley;0:0;0:0;;2.00;3.21;4.40
12/08/18;So.;17:00;Arsenal;Man City;0:1;0:2;;4.29;3.93;1.81
66.KHW
18/08/18;Sa.;13:30;Cardiff;Newcastle;0:0;0:0;;3.27;3.12;2.42
18/08/18;Sa.;16:00;Leicester;Wolves;2:0;2:0;;2.15;3.35;3.61
18/08/18;Sa.;16:00;West Ham;Bournemouth;1:0;1:2;;2.06;3.61;3.60
18/08/18;Sa.;16:00;Tottenham;Fulham;1:0;3:1;;1.27;6.08;11.56
18/08/18;Sa.;16:00;Everton;Southampton;2:0;2:1;;1.82;3.58;4.73
18/08/18;Sa.;18:30;Chelsea;Arsenal;2:2;3:2;;1.83;3.89;4.23
19/08/18;So.;14:30;Burnley;Watford;1:1;1:3;;2.44;3.06;3.30
19/08/18;So.;14:30;Man City;Huddersfield;3:1;6:1;;1.07;11.98;38.10
19/08/18;So.;17:00;Brighton;Man Utd;3:1;3:2;;5.53;3.63;1.71
20/08/18;Mo.;21:00;C Palace;Liverpool;0:1;0:2;;7.35;5.16;1.41
68.KHW
25/08/18;Sa.;13:30;Wolves;Man City;0:0;1:1;;9.03;5.93;1.31
25/08/18;Sa.;16:00;Southampton;Leicester;0:0;1:2;;2.35;3.18;3.34
25/08/18;Sa.;16:00;Huddersfield;Cardiff;0:0;0:0;;2.39;2.97;3.50
25/08/18;Sa.;16:00;Arsenal;West Ham;1:1;3:1;;1.38;5.42;7.73
25/08/18;Sa.;16:00;Bournemouth;Everton;0:0;2:2;;2.63;3.47;2.69
25/08/18;Sa.;18:30;Liverpool;Brighton;1:0;1:0;;1.14;8.83;21.70
26/08/18;So.;14:30;Watford;C Palace;0:0;2:1;;2.29;3.38;3.25
26/08/18;So.;17:00;Newcastle;Chelsea;0:0;1:2;;6.08;4.25;1.56
26/08/18;So.;17:00;Fulham;Burnley;3:2;4:2;;2.19;3.28;3.60
27/08/18;Mo.;21:00;Man Utd;Tottenham;0:0;0:3;;2.60;3.33;2.81
70.KHW
01/09/18;Sa.;13:30;Leicester;Liverpool;0:2;1:2;;7.33;4.82;1.44
01/09/18;Sa.;16:00;Everton;Huddersfield;1:1;1:1;;1.57;3.83;6.98
01/09/18;Sa.;16:00;C Palace;Southampton;0:0;0:2;;2.53;3.19;3.03
01/09/18;Sa.;16:00;West Ham;Wolves;0:0;0:1;;2.58;3.28;2.88
01/09/18;Sa.;16:00;Chelsea;Bournemouth;0:0;2:0;;1.33;5.92;8.50
01/09/18;Sa.;16:00;Brighton;Fulham;0:1;2:2;;2.13;3.46;3.56
01/09/18;Sa.;18:30;Man City;Newcastle;1:1;2:1;;1.13;9.33;20.77
02/09/18;So.;14:30;Cardiff;Arsenal;1:1;2:3;;5.69;4.36;1.58
02/09/18;So.;17:00;Watford;Tottenham;0:0;2:1;;4.94;4.07;1.69
02/09/18;So.;17:00;Burnley;Man Utd;0:2;0:2;;6.24;4.00;1.59
74.KHW
15/09/18;Sa.;13:30;Tottenham;Liverpool;0:1;1:2;;2.98;3.62;2.34
15/09/18;Sa.;16:00;Chelsea;Cardiff;2:1;4:1;;1.14;8.52;21.56
15/09/18;Sa.;16:00;Bournemouth;Leicester;3:0;4:2;;2.35;3.39;3.13
15/09/18;Sa.;16:00;Huddersfield;C Palace;0:1;0:1;;3.43;3.12;2.34
