Datum;Tag;Uhrzeit;Heimteam;Auswärtsteam;HZ-Ergebnis;Endergebnis;Ereignis;1;X;2
64.KHW
10/08/18;Fr.;20:45;Marseille;Toulouse;1:0;4:0;;1.48;4.56;6.82
11/08/18;Sa.;17:00;Nantes;Monaco;0:0;1:3;;2.53;3.25;2.97
11/08/18;Sa.;20:00;Angers;Nimes;1:1;3:4;;2.33;3.13;3.43
11/08/18;Sa.;20:00;Lille;Rennes;1:1;3:1;;2.77;3.22;2.71
11/08/18;Sa.;20:00;Montpellier;Dijon;1:0;1:2;;1.74;3.63;5.29
11/08/18;Sa.;20:00;Nice;Reims;0:1;0:1;;1.90;3.43;4.52
11/08/18;Sa.;20:00;St. Étienne;Guingamp;1:0;2:1;;1.81;3.61;4.74
12/08/18;So.;15:00;Lyon;Amiens;1:0;2:0;;1.27;6.15;11.12
12/08/18;So.;17:00;Bordeaux;Straßburg;0:0;0:2;;1.98;3.33;4.27
12/08/18;So.;21:00;Paris SG;Caen;2:0;3:0;;1.10;10.70;24.90
66.KHW
17/08/18;Fr.;20:45;Reims;Lyon;1:0;1:0;;4.97;4.08;1.68
18/08/18;Sa.;17:00;Guingamp;Paris SG;1:0;1:3;;10.49;6.36;1.27
18/08/18;Sa.;20:00;Rennes;Angers;0:0;1:0;;1.89;3.40;4.64
18/08/18;Sa.;20:00;Dijon;Nantes;1:0;2:0;;2.64;3.39;2.73
18/08/18;Sa.;20:00;Monaco;Lille;0:0;0:0;;1.71;4.10;4.77
18/08/18;Sa.;20:00;Caen;Nice;0:0;1:1;;2.85;3.06;2.76
18/08/18;Sa.;20:00;Amiens;Montpellier;0:0;1:2;;3.37;2.98;2.45
19/08/18;So.;15:00;Straßburg;St. Étienne;0:0;1:1;;2.66;3.20;2.84
19/08/18;So.;17:00;Toulouse;Bordeaux;1:0;2:1;;2.51;3.09;3.15
19/08/18;So.;21:00;Nimes;Marseille;1:0;3:1;;4.74;4.13;1.71
68.KHW
24/08/18;Fr.;20:45;Lyon;Straßburg;1:0;2:0;;1.40;5.08;7.76
25/08/18;Sa.;17:00;Paris SG;Angers;1:1;3:1;;1.12;9.98;21.40
25/08/18;Sa.;20:00;Nantes;Caen;0:1;1:1;;2.16;3.05;4.02
25/08/18;Sa.;20:00;Nice;Dijon;0:0;0:4;;2.04;3.37;3.96
25/08/18;Sa.;20:00;Toulouse;Nimes;0:0;1:0;;2.56;3.42;2.81
25/08/18;Sa.;20:00;Montpellier;St. Étienne;0:0;0:0;;2.34;3.09;3.46
25/08/18;Sa.;20:00;Amiens;Reims;1:0;4:1;;2.85;3.07;2.75
26/08/18;So.;15:00;Lille;Guingamp;2:0;3:0;;1.94;3.58;4.08
26/08/18;So.;17:00;Bordeaux;Monaco;0:0;2:1;;2.82;3.35;2.58
26/08/18;So.;21:00;Marseille;Rennes;0:2;2:2;;1.49;4.57;6.64
70.KHW
31/08/18;Fr.;20:45;Lyon;Nice;0:0;0:1;;1.47;4.74;6.83
01/09/18;Sa.;17:00;Nimes;Paris SG;0:2;2:4;;11.36;6.85;1.24
01/09/18;Sa.;20:00;Straßburg;Nantes;1:2;2:3;;2.05;3.32;3.98
01/09/18;Sa.;20:00;Angers;Lille;0:0;1:0;;2.79;3.22;2.69
01/09/18;Sa.;20:00;Dijon;Caen;0:1;0:2;;1.91;3.49;4.36
01/09/18;Sa.;20:00;Guingamp;Toulouse;1:2;1:2;;2.22;3.41;3.38
01/09/18;Sa.;20:00;Reims;Montpellier;0:0;0:1;;3.07;2.95;2.67
02/09/18;So.;15:00;St. Étienne;Amiens;0:0;0:0;;1.65;3.71;6.08
02/09/18;So.;17:00;Rennes;Bordeaux;2:0;2:0;;2.16;3.16;3.83
02/09/18;So.;21:00;Monaco;Marseille;0:1;2:3;;2.96;3.69;2.32
74.KHW
14/09/18;Fr.;19:00;Nice;Rennes;0:0;2:1;;2.67;3.19;2.83
