Datum;Tag;Uhrzeit;Heimteam;Auswärtsteam;HZ-Ergebnis;Endergebnis;Ereignis;1;X;2
68.KHW
24/08/19;Sa.;18:00;Parma;Juventus;0:1;0:1;;9.14;5.23;1.37
24/08/19;Sa.;20:45;Florenz;Neapel;1:2;3:4;;4.55;3.55;1.89
25/08/19;So.;18:00;Udinese;Milan;0:0;1:0;;3.99;3.44;2.04
25/08/19;So.;20:45;Cagliari;Brescia;0:0;0:1;;1.84;3.63;4.75
25/08/19;So.;20:45;Verona;Bologna;1:1;1:1;;3.95;3.49;2.04
25/08/19;So.;20:45;Roma;Genua;2:2;3:3;;1.78;3.89;4.73
25/08/19;So.;20:45;Sampdoria;Lazio;0:1;0:3;;3.73;3.41;2.13
25/08/19;So.;20:45;Spal;Atalanta;2:1;2:3;;5.16;3.84;1.74
25/08/19;So.;20:45;Turin;Sassuolo;1:0;2:1;;1.94;3.57;4.27
26/08/19;Mo.;20:45;Inter;Lecce;2:0;4:0;;1.26;6.56;12.09
70.KHW
30/08/19;Fr.;20:45;Bologna;Spal;0:0;1:0;;1.83;3.62;4.82
31/08/19;Sa.;18:00;Milan;Brescia;1:0;1:0;;1.58;4.22;6.22
31/08/19;Sa.;20:45;Juventus;Neapel;2:0;4:3;;2.07;3.38;3.98
01/09/19;So.;18:00;Lazio;Roma;0:1;1:1;;2.06;3.69;3.65
01/09/19;So.;20:45;Udinese;Parma;1:1;1:3;;1.95;3.58;4.20
01/09/19;So.;20:45;Sassuolo;Sampdoria;3:0;4:1;;2.24;3.63;3.24
01/09/19;So.;20:45;Cagliari;Inter;0:1;1:2;;5.63;4.17;1.63
01/09/19;So.;20:45;Lecce;Verona;0:0;0:1;;2.08;3.52;3.79
01/09/19;So.;20:45;Genua;Florenz;1:0;2:1;;2.82;3.50;2.57
01/09/19;So.;20:45;Atalanta;Turin;1:1;2:3;;1.60;4.35;5.67
74.KHW
14/09/19;Sa.;15:00;Florenz;Juventus;0:0;0:0;;4.45;3.72;1.86
14/09/19;Sa.;18:00;Neapel;Sampdoria;1:0;2:0;;1.31;6.18;9.55
14/09/19;Sa.;20:45;Inter;Udinese;1:0;1:0;;1.38;5.23;8.84
15/09/19;So.;12:30;Genua;Atalanta;0:0;1:2;;3.41;3.74;2.13
15/09/19;So.;15:00;Spal;Lazio;0:1;2:1;;5.88;4.34;1.59
15/09/19;So.;15:00;Brescia;Bologna;3:1;3:4;;3.63;3.68;2.07
15/09/19;So.;15:00;Parma;Cagliari;0:2;1:3;;2.16;3.38;3.70
15/09/19;So.;18:00;Roma;Sassuolo;4:0;4:2;;1.58;4.65;5.43
15/09/19;So.;20:45;Verona;Milan;0:0;0:1;;4.76;3.51;1.87
16/09/19;Mo.;20:45;Turin;Lecce;0:1;1:2;;1.47;4.84;7.00
76.KHW
20/09/19;Fr.;20:45;Cagliari;Genua;0:0;3:1;;3.08;3.40;2.43
21/09/19;Sa.;15:00;Udinese;Brescia;0:0;0:1;;1.88;3.70;4.42
21/09/19;Sa.;18:00;Juventus;Verona;1:1;2:1;;1.24;6.67;13.59
21/09/19;Sa.;20:45;Milan;Inter;0:0;0:2;;3.88;3.27;2.15
22/09/19;So.;12:30;Sassuolo;Spal;2:0;3:0;;1.99;3.56;4.07
22/09/19;So.;15:00;Bologna;Roma;0:0;1:2;;2.67;3.70;2.59
22/09/19;So.;15:00;Lecce;Neapel;0:2;1:4;;6.20;4.90;1.45
22/09/19;So.;15:00;Sampdoria;Turin;0:0;1:0;;2.85;3.45;2.54
22/09/19;So.;18:00;Atalanta;Florenz;0:1;2:2;;2.21;3.54;3.40
22/09/19;So.;20:45;Lazio;Parma;1:0;2:0;;1.29;6.36;10.00
77.KHW
24/09/19;Di.;19:00;Verona;Udinese;0:0;0:0;;2.46;3.16;3.25
24/09/19;Di.;21:00;Brescia;Juventus;1:1;1:2;;6.96;4.38;1.52
25/09/19;Mi.;19:00;Roma;Atalanta;0:0;0:2;;2.37;3.75;2.93
25/09/19;Mi.;21:00;Florenz;Sampdoria;1:0;2:1;;1.62;4.15;5.83
25/09/19;Mi.;21:00;Inter;Lazio;1:0;1:0;;2.03;3.56;3.88
25/09/19;Mi.;21:00;Neapel;Cagliari;0:0;0:1;;1.18;8.16;16.05
25/09/19;Mi.;21:00;Parma;Sassuolo;0:0;1:0;;2.82;3.43;2.60
25/09/19;Mi.;21:00;Spal;Lecce;1:1;1:3;;2.13;3.44;3.71
25/09/19;Mi.;21:00;Genua;Bologna;0:0;0:0;;2.44;3.58;2.93
26/09/19;Do.;21:00;Turin;Milan;0:1;2:1;;2.65;3.21;2.93
78.KHW
28/09/19;Sa.;15:00;Juventus;Spal;1:0;2:0;;1.20;7.53;15.67
