Datum;Tag;Uhrzeit;Heimteam;Auswärtsteam;HZ-Ergebnis;Endergebnis;Ereignis;1;X;2
66.KHW
16/08/19;Fr.;21:00;Athletic;Barcelona;0:0;1:0;;5.03;3.70;1.80
17/08/19;Sa.;17:00;Celta Vigo;Real Madrid;0:1;1:3;;5.14;4.33;1.65
17/08/19;Sa.;19:00;Valencia;R. Sociedad;0:0;1:1;;1.71;3.89;5.35
17/08/19;Sa.;20:00;Mallorca;Eibar;1:0;2:1;;2.98;3.21;2.62
17/08/19;Sa.;21:00;Leganés;Osasuna;0:0;0:1;;1.90;3.25;5.10
17/08/19;Sa.;21:00;Villarreal;Granada;1:1;4:4;;1.56;4.24;6.46
18/08/19;So.;17:00;Alavés;Levante;0:0;1:0;;2.39;3.31;3.23
18/08/19;So.;19:00;Espanyol;Sevilla;0:1;0:2;;3.11;3.41;2.41
18/08/19;So.;21:00;Real Betis;Valladolid;0:0;1:2;;1.86;3.64;4.62
18/08/19;So.;22:00;Atlético;Getafe;1:0;1:0;;1.57;3.87;7.32
68.KHW
23/08/19;Fr.;20:00;Granada;Sevilla;0:0;0:1;;4.02;3.58;1.99
23/08/19;Fr.;22:00;Levante;Villarreal;0:1;2:1;;2.57;3.68;2.70
24/08/19;Sa.;17:00;Osasuna;Eibar;0:0;0:0;;2.89;3.15;2.73
24/08/19;Sa.;19:00;Real Madrid;Valladolid;0:0;1:1;;1.24;7.79;10.30
24/08/19;Sa.;21:00;Getafe;Athletic;1:1;1:1;;2.51;2.92;3.46
24/08/19;Sa.;21:00;Celta Vigo;Valencia;1:0;1:0;;3.22;3.49;2.31
25/08/19;So.;17:00;Mallorca;R. Sociedad;0:0;0:1;;3.12;3.29;2.47
25/08/19;So.;17:00;Alavés;Espanyol;0:0;0:0;;2.79;2.99;2.97
25/08/19;So.;19:00;Leganés;Atlético;0:0;0:1;;4.77;3.12;2.00
25/08/19;So.;21:00;Barcelona;Real Betis;1:1;5:2;;1.40;5.25;7.99
70.KHW
30/08/19;Fr.;20:00;Sevilla;Celta Vigo;0:0;1:1;;1.62;4.34;5.49
30/08/19;Fr.;22:00;Athletic;R. Sociedad;2:0;2:0;;2.46;3.05;3.39
31/08/19;Sa.;17:00;Osasuna;Barcelona;1:0;2:2;;7.02;4.50;1.50
31/08/19;Sa.;19:00;Getafe;Alavés;1:1;1:1;;1.91;3.11;5.42
31/08/19;Sa.;19:00;Levante;Valladolid;0:0;2:0;;2.04;3.62;3.78
31/08/19;Sa.;21:00;Real Betis;Leganés;0:0;2:1;;2.31;3.21;3.49
