Datum;Tag;Uhrzeit;Heimteam;Auswärtsteam;HZ-Ergebnis;Endergebnis;Ereignis;1;X;2
51.KHW
26/06/18;Di.;17:00;FC Coloma;KF Drita;0:0;0:2;n.V.;3.96;3.44;2.02
26/06/18;Di.;21:00;La Fiorita;Lincoln Red Imps;0:1;0:2;;12.03;5.51;1.29
52.KHW
29/06/18;Fr.;20:30;Lincoln Red Imps;KF Drita;0:1;1:4;n.V.;2.11;3.15;4.01
55.KHW
10/07/18;Di.;17:30;FC Flora;Hapoel Beer Sheva;0:2;1:4;;5.74;3.94;1.58
10/07/18;Di.;17:30;Torpedo Kutaisi;Sheriff Tiraspol;1:1;2:1;;4.63;3.38;1.82
10/07/18;Di.;18:00;Alashkert;Celtic;0:1;0:3;;11.58;5.05;1.29
10/07/18;Di.;18:00;Dudelange;Fehervar;0:1;1:1;;3.77;3.15;2.09
10/07/18;Di.;20:00;Vikingur Gota;HJK;0:2;1:2;;8.30;4.52;1.39
10/07/18;Di.;20:15;FK Shkendija;TNS;2:0;5:0;;1.28;5.43;10.38
10/07/18;Di.;20:45;KF Drita;Malmö;0:2;0:3;;13.68;7.57;1.17
10/07/18;Di.;20:45;Cork City;Legia Warschau;0:0;0:1;;4.92;3.33;1.80
11/07/18;Mi.;16:00;FC Astana;Sutjeska;1:0;1:0;;1.17;7.00;16.84
11/07/18;Mi.;18:00;Spartak Trnava;Zrinjski Mostar;0:0;1:0;;2.31;2.95;3.46
11/07/18;Mi.;18:00;FK Suduva;Apoel Nicosia;3:0;3:1;;6.46;4.01;1.52
11/07/18;Mi.;18:00;Spartaks Jurmala;Roter Stern Belgrad;0:0;0:0;;11.24;5.52;1.27
11/07/18;Mi.;19:00;Kukesi;Valletta;0:0;0:0;;1.80;3.31;4.91
11/07/18;Mi.;19:00;Ludogorets 1945;Crusaders;2:0;7:0;;1.06;11.21;33.50
11/07/18;Mi.;20:00;Olimp. Ljubljana;Qarabag;0:0;0:1;;2.85;3.08;2.60
11/07/18;Mi.;22:00;Valur R;Rosenborg;0:0;1:0;;4.22;3.50;1.86
57.KHW
17/07/18;Di.;18:00;HJK;Vikingur Gota;3:1;3:1;;1.20;6.73;13.31
17/07/18;Di.;18:00;Valletta;Kukesi;0:0;1:1;;2.52;2.75;3.33
17/07/18;Di.;19:00;Malmö;KF Drita;0:0;2:0;;1.04;12.26;48.69
17/07/18;Di.;19:00;Hapoel Beer Sheva;FC Flora;2:0;3:1;;1.18;7.20;14.37
17/07/18;Di.;19:00;Apoel Nicosia;FK Suduva;1:0;1:0;;1.21;6.65;11.73
17/07/18;Di.;20:00;TNS;FK Shkendija;3:0;4:0;;3.66;3.71;1.93
17/07/18;Di.;20:15;Fehervar;Dudelange;1:0;2:1;;1.71;3.65;4.94
17/07/18;Di.;20:30;Roter Stern Belgrad;Spartaks Jurmala;0:0;2:0;;1.11;8.59;23.46
17/07/18;Di.;21:00;Crusaders;Ludogorets 1945;0:1;0:2;;11.30;6.47;1.22
17/07/18;Di.;21:00;Legia Warschau;Cork City;1:0;3:0;;1.35;4.88;8.92
18/07/18;Mi.;19:00;Zrinjski Mostar;Spartak Trnava;0:1;1:1;;2.38;2.97;3.31
18/07/18;Mi.;19:00;Sheriff Tiraspol;Torpedo Kutaisi;2:0;3:0;;1.47;4.29;6.76
18/07/18;Mi.;19:00;Qarabag;Olimp. Ljubljana;0:0;0:0;;1.56;3.73;6.66
18/07/18;Mi.;19:45;Rosenborg;Valur R;0:0;3:1;;1.23;5.98;12.95
18/07/18;Mi.;20:00;Sutjeska;FC Astana;0:1;0:2;;5.20;3.40;1.74
18/07/18;Mi.;20:45;Celtic;Alashkert;3:0;3:0;;1.09;9.52;27.68
59.KHW
24/07/18;Di.;16:00;FC Astana;Midtjylland;1:0;2:1;;2.07;3.10;3.92
24/07/18;Di.;18:00;CFR Cluj;Malmö;0:1;0:1;;2.14;2.96;3.92
24/07/18;Di.;19:30;PAOK;Basel 1893;1:0;2:1;;1.85;3.56;4.20
24/07/18;Di.;20:00;Dinamo Zagreb;Hapoel Beer Sheva;2:0;5:0;;2.01;3.28;3.88
24/07/18;Di.;20:15;FK Shkendija;Sheriff Tiraspol;1:0;1:0;;2.38;3.00;3.26
24/07/18;Di.;20:30;Roter Stern Belgrad;FK Suduva;2:0;3:0;;1.25;5.30;13.69
24/07/18;Di.;21:00;Legia Warschau;Spartak Trnava;0:1;0:2;;1.40;4.33;8.70
25/07/18;Mi.;19:00;Bate Borisov;HJK;0:0;0:0;;1.69;3.53;5.39
25/07/18;Mi.;19:00;Kukesi;Qarabag;0:0;0:0;;5.69;3.13;1.77
25/07/18;Mi.;19:00;Ludogorets 1945;Fehervar;0:0;0:0;;1.28;5.15;11.73
25/07/18;Mi.;20:30;Ajax;Sturm Graz;1:0;2:0;;1.31;5.33;8.99
25/07/18;Mi.;20:45;Celtic;Rosenborg;1:1;3:1;;1.58;3.69;6.39
61.KHW
31/07/18;Di.;19:00;Hapoel Beer Sheva;Dinamo Zagreb;2:0;2:2;;2.02;3.66;3.42
31/07/18;Di.;19:00;Sheriff Tiraspol;FK Shkendija;0:0;0:0;;1.39;4.37;9.07
31/07/18;Di.;20:30;Spartak Trnava;Legia Warschau;0:0;0:1;;3.51;3.27;2.13
01/08/18;Mi.;18:00;HJK;Bate Borisov;1:2;1:2;;2.91;2.99;2.62
01/08/18;Mi.;19:00;Midtjylland;FC Astana;0:0;0:0;;1.85;3.51;4.26
01/08/18;Mi.;19:00;Qarabag;Kukesi;1:0;3:0;;1.30;4.75;12.77
01/08/18;Mi.;19:15;Malmö;CFR Cluj;0:1;1:1;;2.07;3.18;3.80
